year,track_name,track_popularity,album,artist_name,artist_genres,artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
2000,Who Let The Dogs Out,68,Who Let The Dogs Out,Baha Men,['bahamian pop'],48,0.869,0.887,0.0,65.0,1.0,0.0993,0.0605,0.0,0.148,0.784,129.221,198400.0
2000,Wifey,58,Platinum & Gold Collection,Next,['boy band'; 'contemporary r&b'; 'minneapolis sound'; 'new jack swing'; 'r&b'; 'urban contemporary'],54,0.829,0.652,7.0,93.0,0.0,0.108,0.067,0.0,0.0812,0.726,99.581,243159.0
2000,Wonderful,59,Songs From An American Movie: Learning How To Smile,Everclear,['alternative metal'; 'alternative rock'; 'nu metal'; 'permanent wave'; 'pop rock'; 'post-grunge'],57,0.514,0.817,7.0,81.0,1.0,0.05,0.0118,8.25e-06,0.346,0.734,186.765,280813.0
2000,Yellow,91,Parachutes,Coldplay,['permanent wave'; 'pop'],86,0.429,0.661,11.0,85.0,1.0,0.0281,0.00239,0.000121,0.234,0.285,173.372,266773.0
2000,You Sang To Me,59,Marc Anthony,Marc Anthony,['latin pop'; 'modern salsa'; 'salsa'; 'tropical'],74,0.578,0.894,10.0,73.0,1.0,0.0296,0.0103,2.66e-06,0.216,0.741,165.98,347107.0
2001,Again,72,Again,Lenny Kravitz,['permanent wave'; 'rock'],67,0.55,0.804,2.0,71.0,1.0,0.0271,0.0148,4.33e-05,0.105,0.789,79.166,231667.0
2001,Ain't It Funny,60,"J,Lo",Jennifer Lopez,['dance pop'; 'pop'; 'urban contemporary'],73,0.711,0.87,0.0,65.0,0.0,0.0484,0.0804,0.000306,0.138,0.569,99.843,245360.0
2001,All For You,64,All For You,Janet Jackson,['dance pop'; 'r&b'; 'urban contemporary'],63,0.753,0.934,2.0,47.0,1.0,0.0736,0.0174,0.065,0.128,0.73,113.525,329933.0
2001,AM To PM,57,Christina Milian,Christina Milian,['dance pop'; 'hip pop'; 'post-teen pop'; 'r&b'; 'urban contemporary'],50,0.872,0.868,10.0,48.0,0.0,0.12,0.153,2.26e-05,0.843,0.822,105.005,231213.0
2001,Angel,79,Hot Shot,Shaggy,['pop rap'; 'reggae fusion'],71,0.74,0.766,6.0,46.0,1.0,0.178,0.116,0.0,0.0406,0.807,170.531,235133.0
2001,Because I Got High,69,The Good Times,Afroman,['comedy rap'],57,0.802,0.341,7.0,93.0,1.0,0.488,0.169,0.0,0.0783,0.849,166.01,197760.0
2001,Bootylicious,67,Survivor,Destiny's Child,['dance pop'; 'girl group'; 'pop'; 'r&b'; 'urban contemporary'],69,0.84,0.835,1.0,64.0,0.0,0.275,0.00281,1.11e-06,0.152,0.637,103.376,207907.0
2001,Butterfly,75,The Gift Of Game,Crazy Town,['alternative metal'; 'funk metal'; 'nu metal'; 'post-grunge'; 'rap rock'],57,0.736,0.811,9.0,62.0,0.0,0.081,0.00132,0.000142,0.107,0.609,103.502,216733.0
2001,Can't Get You out of My Head,80,Fever,Kylie Minogue,['australian dance'; 'australian pop'; 'dance pop'; 'eurodance'; 'new wave pop'],71,0.766,0.563,9.0,87.0,0.0,0.0339,0.0263,0.683,0.115,0.964,126.007,230640.0
2001,Clint Eastwood,72,Gorillaz,Gorillaz,['alternative hip hop'; 'modern rock'; 'rock'],77,0.663,0.694,10.0,93.0,0.0,0.171,0.0253,0.0,0.0698,0.525,167.953,340920.0
2001,Differences,70,The Life,Ginuwine,['contemporary r&b'; 'hip pop'; 'r&b'; 'urban contemporary'],63,0.562,0.594,3.0,66.0,0.0,0.0558,0.318,0.0,0.311,0.423,62.876,265533.0
2001,Do You Really Like It? - Radio Edit,57,Do You Really Like It? (Remixes),DJ Pied Piper & The Masters Of Ceremonies,['uk garage'],35,0.847,0.877,2.0,73.0,1.0,0.0493,0.124,0.0,0.148,0.764,131.044,217120.0
2001,Don't Stop Movin',63,Sunshine,S Club,[],54,0.822,0.672,7.0,78.0,1.0,0.0329,0.0285,0.0,0.213,0.91,117.033,233627.0
2001,Drive,79,Make Yourself,Incubus,['alternative metal'; 'alternative rock'; 'funk metal'; 'funk rock'; 'nu metal'; 'post-grunge'; 'rock'],67,0.645,0.792,4.0,86.0,0.0,0.036,0.0562,0.0121,0.119,0.666,90.565,232453.0
2001,Drops of Jupiter (Tell Me),81,Drops Of Jupiter,Train,['dance pop'; 'neo mellow'; 'pop'; 'pop rock'],71,0.481,0.638,0.0,76.0,1.0,0.0276,0.153,0.0,0.154,0.497,79.064,259933.0
2001,Eternal Flame - Single Version,57,Right Now,Atomic Kitten,['candy pop'; 'dance pop'; 'europop'; 'girl group'],54,0.578,0.581,0.0,83.0,1.0,0.0318,0.0658,0.0042,0.0674,0.408,83.293,195507.0
2001,Fallin',77,Songs In A Minor,Alicia Keys,['neo soul'; 'pop'; 'r&b'],75,0.652,0.609,11.0,87.0,0.0,0.037,0.263,0.00101,0.233,0.482,95.986,210200.0
2001,Family Affair,80,No More Drama,"Mary J, Blige",['dance pop'; 'neo soul'; 'r&b'; 'urban contemporary'],68,0.911,0.551,8.0,57.0,0.0,0.0449,0.132,4.12e-05,0.0863,0.969,92.887,265867.0
2001,Fat Lip,76,All Killer; No Filler,Sum 41,['alternative metal'; 'canadian pop punk'; 'canadian punk'; 'modern rock'; 'nu metal'; 'pop punk'; 'post-grunge'; 'punk'; 'rock'],70,0.402,0.914,9.0,71.0,1.0,0.142,0.000579,0.0,0.065,0.626,196.505,178267.0
2001,Fill Me In,63,Born to Do It,Craig David,['british soul'],62,0.682,0.744,8.0,84.0,1.0,0.0365,0.376,0.00951,0.06,0.827,132.493,257200.0
2001,Follow Me,74,Double Wide,Uncle Kracker,['country'; 'pop rock'; 'post-grunge'],60,0.817,0.585,5.0,67.0,1.0,0.0301,0.439,0.0,0.147,0.916,105.014,218440.0
2001,Get Ur Freak On,71,"Miss E,,, So Addictive",Missy Elliott,['dance pop'; 'hip hop'; 'hip pop'; 'neo soul'; 'pop rap'; 'r&b'; 'rap'; 'urban contemporary'; 'virginia hip hop'],69,0.797,0.75,0.0,97.0,1.0,0.247,0.533,0.108,0.095,0.74,177.87,211120.0
2001,Gone,55,Celebrity,*NSYNC,['boy band'; 'dance pop'; 'pop'],65,0.704,0.409,11.0,93.0,0.0,0.0597,0.43,0.0,0.109,0.495,113.863,292000.0
2001,Hanging By A Moment,70,No Name Face,Lifehouse,['neo mellow'; 'pop rock'; 'post-grunge'],62,0.541,0.864,1.0,69.0,1.0,0.0357,0.00118,0.0,0.0896,0.435,124.557,216067.0
